OCR Corrections — 2515 substitutions across 246 entries
========================================================================
DATE         RULE             ORIGINAL                     CORRECTED
1942-01-26   symbol_repair    ne~ative                     negative
1942-01-26   stray_symbol     hac~each                     haceach
1942-01-26   symbol_repair    tr~ced                       traced
1942-01-26   symbol_repair    consider~ble                 considerable
1942-01-26   symbol_repair    b~T                          baT
1942-01-27   phrase_norm      Cominch                      COMINCH
1942-01-27   phrase_norm      Cominch                      COMINCH
1942-01-27   phrase_norm      Cominch                      COMINCH
1942-01-27   phrase_norm      Cominch                      COMINCH
1942-01-27   hyphen_join      adminis-tration              administration
1942-01-28   phrase_norm      Cominch                      COMINCH
1942-01-28   phrase_norm      Cominch                      COMINCH
1942-01-28   phrase_norm      Task Porce                   Task Force
1942-01-28   hyphen_join      trans-port                   transport
1942-01-28   hyphen_join      inten-sive                   intensive
1942-01-28   hyphen_join      indi-cation                  indication
1942-01-28   hyphen_join      fore-going                   foregoing
1942-01-28   hyphen_join      con-voyed                    convoyed
1942-01-28   stray_punct_prefix :Marshalls                   Marshalls
1942-01-28   stray_punct_prefix .Plans                       Plans
1942-01-29   phrase_norm      Cominch                      COMINCH
1942-01-29   phrase_norm      Cominch                      COMINCH
1942-01-29   hyphen_join      confer-ence                  conference
1942-01-29   hyphen_join      prob-ably                    probably
1942-01-30   phrase_norm      Cominch                      COMINCH
1942-01-31   phrase_norm      Cominch                      COMINCH
1942-01-31   hyphen_join      effect-iveness               effectiveness
1942-01-31   hyphen_join      instal-lations               installations
1942-01-31   hyphen_join      fuel-ing                     fueling
1942-02-01   phrase_norm      Cominch                      COMINCH
1942-02-01   hyphen_join      south-eastward               southeastward
1942-02-01   hyphen_join      sub-stituted                 substituted
1942-02-02   phrase_norm      Cominch                      COMINCH
1942-02-02   hyphen_join      re-mainder                   remainder
1942-02-02   hyphen_join      con-tinued                   continued
1942-02-02   hyphen_join      in-cluding                   including
1942-02-04   phrase_norm      Cominch                      COMINCH
1942-02-04   hyphen_join      frag-ments                   fragments
1942-02-04   hyphen_join      sub-marines                  submarines
1942-02-04   hyphen_join      South-west                   Southwest
1942-02-04   hyphen_join      south-west                   southwest
1942-02-04   stray_punct      vie.ws                       views
1942-02-04   symbol_repair    N~val                        Naval
1942-02-05   phrase_norm      Cominch                      COMINCH
1942-02-05   phrase_norm      Cominch                      COMINCH
1942-02-05   hyphen_join      opera-tion                   operation
1942-02-05   hyphen_join      frag-ments                   fragments
1942-02-05   hyphen_join      sub-marines                  submarines
1942-02-05   hyphen_join      South-west                   Southwest
1942-02-05   hyphen_join      south-west                   southwest
1942-02-06   phrase_norm      Cominch                      COMINCH
1942-02-06   phrase_norm      Cominch                      COMINCH
1942-02-06   phrase_norm      Cominch                      COMINCH
1942-02-06   phrase_norm      Cominch                      COMINCH
1942-02-06   hyphen_join      re-port                      report
1942-02-06   hyphen_join      south-west                   southwest
1942-02-06   hyphen_join      Battle-ships                 Battleships
1942-02-06   hyphen_join      prob-able                    probable
1942-02-08   hyphen_join      opera-tions                  operations
1942-02-08   hyphen_join      air-craft                    aircraft
1942-02-09   hyphen_join      previ-ously                  previously
1942-02-09   hyphen_join      unsatis-factory              unsatisfactory
1942-02-12   hyphen_join      Presi-dent                   President
1942-02-13   phrase_norm      Cominch                      COMINCH
1942-02-13   phrase_norm      Cominch                      COMINCH
1942-02-13   phrase_norm      Cominch                      COMINCH
1942-02-13   hyphen_join      move-ments                   movements
1942-02-13   hyphen_join      re-ceived                    received
1942-02-13   hyphen_join      re-consideration             reconsideration
1942-02-14   phrase_norm      Cominch                      COMINCH
1942-02-15   hyphen_join      Other-wise                   Otherwise
1942-02-16   phrase_norm      Cominch                      COMINCH
1942-02-17   phrase_norm      Cominch                      COMINCH
1942-02-17   phrase_norm      Cominch                      COMINCH
1942-02-18   phrase_norm      Cominch                      COMINCH
1942-02-18   phrase_norm      Cominch                      COMINCH
1942-02-18   phrase_norm      Cominch                      COMINCH
1942-02-18   phrase_norm      Cominch                      COMINCH
1942-02-18   phrase_norm      Cominch                      COMINCH
1942-02-18   hyphen_join      Command-er                   Commander
1942-02-18   hyphen_join      com-munications              communications
1942-02-18   hyphen_join      gen-eral                     general
1942-02-18   hyphen_join      addi-tional                  additional
1942-02-18   hyphen_join      in-itiated                   initiated
1942-02-18   hyphen_join      con-sider                    consider
1942-02-18   hyphen_join      intelli-gence                intelligence
1942-02-18   hyphen_join      re-ceived                    received
1942-02-18   hyphen_join      re-plenish                   replenish
1942-02-18   hyphen_join      com-pleted                   completed
1942-02-18   hyphen_join      endur-ance                   endurance
1942-02-18   hyphen_join      reconnoit-ered               reconnoitered
1942-02-18   hyphen_join      freq-uently                  frequently
1942-02-18   hyphen_join      avail-able                   available
1942-02-18   hyphen_join      avail-able                   available
1942-02-18   hyphen_join      be-ing                       being
1942-02-18   hyphen_join      vigor-ous                    vigorous
1942-02-18   hyphen_join      commun-ications              communications
1942-02-18   hyphen_join      com-parison                  comparison
1942-02-18   hyphen_join      ter-ritory                   territory
1942-02-18   hyphen_join      commit-ments                 commitments
1942-02-18   hyphen_join      communica-tions              communications
1942-02-18   hyphen_join      tre-mendous                  tremendous
1942-02-18   hyphen_join      unfavor-able                 unfavorable
1942-02-18   hyphen_join      over-rated                   overrated
1942-02-18   hyphen_join      bombard-ment                 bombardment
1942-02-18   hyphen_join      appreci-ably                 appreciably
1942-02-18   symbol_repair    H~LL                         HaLL
1942-02-18   digit_sub        P0RGES                       PORGES
1942-02-20   phrase_norm      Cominch                      COMINCH
1942-02-20   phrase_norm      Cominch                      COMINCH
1942-02-20   hyphen_join      connect-ion                  connection
1942-02-20   hyphen_join      indi-cates                   indicates
1942-02-20   stray_symbol     ob~at                        obat
1942-02-21   phrase_norm      Cominch                      COMINCH
1942-02-21   hyphen_join      inter-cepted                 intercepted
1942-02-21   hyphen_join      consider-able                considerable
1942-02-22   phrase_norm      Cominch                      COMINCH
1942-02-22   phrase_norm      Cominch                      COMINCH
1942-02-22   phrase_norm      Cominch                      COMINCH
1942-02-22   phrase_norm      Cominch                      COMINCH
1942-02-22   phrase_norm      Cominch                      COMINCH
1942-02-22   hyphen_join      suit-able                    suitable
